Common Everyday Phrasal Verbs Test/Quiz;zUtJ1hNSjjc;956
English Pronunciation Lesson: The Sounds W and V (...and F);syboTIzBxoo;485
Do these 5 Things to Improve your English / Habits to do Every Day to Learn English Alone;2mAMaPrenjM;1006
Common British English Slang Words;o81FJx6yNKg;443
How to Improve your English Pronunciation and Listening Skills;p7dJPDqbehA;948
When is the Letter 'w' Silent in English? / Words and Rules for Silent Letter W;OCGBCr7PMRA;148
How to Pronounce /e/ /ɪ/ /iː/ | bet, bit, beat / set, sit, seat;2Dp6_JxF7sc;614
"How to Pronounce ""World"" and ""Word"" (in British English)";PgIuwXIj5RY;554
How to Learn English **Easy, Fun, Effective**;pVoS61loG2s;940
10 Winter and Christmas Phrasal Verbs in English **With Phonemic Transcriptions**;MIu9YlHIMuY;692
When is the Letter 'n' Silent in English? / Words and Rules for Silent Letter N;Z3SLuwEorXE;157
Learn 10 Common and Useful Idioms and Expressions **in under 10 Minutes**;xwrlM1AfjyY;504
Artisul D16 Pro Graphics Tablet Review for Online Teachers/Teaching;wHxEt6xc5CA;973
When is the Letter 'd' Silent in English? / Words and Rules for Silent Letter D;ulBl9mfU1FI;153
When is the Letter 'k Silent in English? / Words and Rules for Silent Letter K;oTXB1_4Z_Hw;147
How to Understand FAST Speech and Improve your English Listening Skills;NUeLz_NlHIY;949
50 Facts About Me to Celebrate 100k Subscribers **I Answer YOUR Questions**;cGJiXoKjcnM;1994
Silent T and D at the End of Words;6R46dqTuxvU;304
Learn Linking & Connected Speech in English | Consonant + Consonant & Vowel + Vowel Linking (PART 2);zZUtaig-O34;1457
Catenation | Consonant + Vowel Linking in English | Connected Speech;nR2WLQsBB64;173
Graphics Tablets for Online Teachers / GAOMON PD1560 REVIEW and TUTORIAL (PDF, Word, Excel);S4ZIQLl4G3A;1704
The Complete Guide to Connected Speech and Linking in English | Vowel + Vowel Linking (PART 1);N7WPLhRJ_Gk;884
Assimilation with /j/ - Connected Speech;H_SPQGXwu50;415
"How to Pronounce ""Iron"" in British English and American English";YX1cvHusbgM;239
"How to Pronounce ""Water"" in British English and American English";ljJrrGgoLOU;291
How to get Fluent QUICKLY and EASILY in English **4 Easy Tips**;W_NVLkNlBl0;1317
How to Pronounce L and R **Super Easy Comparison**;i9KBmN_jEJs;385
How to Pronounce the Glottal Stop/Glottal T and When is it Used;chcjHwWwVxQ;379
How to Pronounce 'R' in British English and When is 'R' Silent in British English;gP2_C9H6r5U;647
How to Pronounce Words Ending in S (S in Final Position);QltJzu38Ae8;400
How to Pronounce /əʊ/ and /ɒ/ (goat vs got);XDwuBXkQ2v8;295
The /aʊ/ Sound (cow, now, brown);aSieJUInc3c;69
How to Pronounce /əʊ/ and /ɔː/ (Boat and Bought / Low and Law);GoEu6zPeiM4;419
100 Most Common Verbs in English (Present, Past, Participle);gBSh2PS5EVE;625
10 Common Homophones in English;zFL8UrlzHsc;199
The /aɪ/ Sound (why, try, lie);LrnO_9YZlAg;69
The /eə/ Sound (bear, hair, wear);9xeyj6vtfuU;88
How to PRONOUNCE TH SOUNDS in English | How to Pronounce /θs/ and /ðz/;fRW3k0QHSYM;455
My MOST EMBARRASSING MISTAKES in Spanish (and they're BAD!!);ZbpzQXe0AhM;1005
Free Online Teaching Tools for Teachers;h2Bbu7RJcsc;491
WHAT EQUIPMENT do you need to TEACH and STREAM LESSONS ONLINE?;78jRX_akYxo;716
Skype or Zoom? | Which PLATFORM is BEST for ONLINE TEACHING and STREAMING ON YOUTUBE?;sTUsRNjZa_o;668
The /əʊ/ Sound (home, no, go);BHsZE9DdBr4;57
How to use QUESTION INTONATION in ENGLISH | RISING and FALLING QUESTION INTONATION;ImWCV5iRoq8;360
The /ɔɪ/ Sound in English (boy, annoyed, employ);b5uJuoGiFu0;80
The /ʊə/ Sound (tour, Europe, poor);l11euAJJgcs;97
The /eɪ/ Sound (say, day, way);UUHLcWniVjs;64
The /ɪə/ Sound (here/hear, weird, ear);hrULMvxX5Sw;73
The /ɒ/ Sound (hot, lot, lock);39JnmETR41M;78
The /ɑː/ Sound (car, start, March);ojFxHPtWQc0;95
The /ʌ/ Sound (luck, much, trust);jcYoCdZGwPo;74
The /æ/ Sound (man, sad, bat);Bm4rQUtI_dc;71
The /ɔː/ Sound (law, more, saw);NUVCtfWZXgU;106
The /ɜː/ Sound (girl, word, world);cUZ5Ma86r6s;80
The /ə/ Sound || The Schwa Sound (doctOR, centRE, mothER);X_8C5_OwXp0;79
The /e/ Sound (men, bed, set);OeI4IB5B0Uo;56
The /uː/ Sound (fool, pool, true);RT-hlF1ZY2Y;70
The /ʊ/ Sound (look, foot, put);k5s8kXGw5SM;63
The /ɪ/ Sound (sit, bit, it);6_PmNN4VgGo;65
The /iː/ Sound (beach, peach, sheet);DhEPqKLc86s;66
How to SET and ACHIEVE your LANGUAGE GOALS and STAY MOTIVATED when LEARNING ENGLISH;fVQ3CoTJczM;543
Christmas and New Year Traditions in the UK;Jat4AsGiE2w;705
CHRISTMAS TRADITIONS in the UK and NORTH AMERICA | Listening Comprehension Quiz with @Englishwithjennifer;oR2IGqWnK6A;570
TOP 15 COMMONLY MISPRONOUNCED WORDS by English Learners/Non-native Speakers;ahGaD3eaYYw;405
"My HONEST UNIVERSITY EXPERIENCE at a ""TOP"" UK UNIVERSITY | York St John and Bristol University";ZbfO36ZNios;1948
How to IMPROVE your ENGLISH GRAMMAR Quickly and Easily;1QKYslD5DLQ;567
Common Halloween Vocabulary and Halloween Traditions in the UK;chDxV0zd01c;944
The Light L /l/ and Dark L [ɫ] in English;ANa8UWr22x0;286
How to Pronounce /eə/ Vowel Sound;nbEQvRq3p84;288
How to Pronounce /ɪə/ Vowel Sound in English;ftwSXO8Fsjk;327
LOOK, WATCH, and SEE | What is the Difference?;5Vq9AcXTSTg;296
WHAT is the DIFFERENCE between HEAR and LISTEN in English?;itw-Tb062dk;221
The MOST RIDICULOUS REQUESTS I've EVER Received!!;b45tO0VjpDg;593
How to Pronounce THROUGH, TOUGH, THOROUGH, THOUGHT and THOUGH in British English.;ALxw-KgdOlw;506
FREE WAYS to Improve your English Speaking Skills by Yourself;xsJoBy66b7Y;587
How to use CONNECTED SPEECH with Sabrah from Love English;na0Bbj5aV8M;526
"HOW to PRONOUNCE ""THE"" in ENGLISH";Zy0c_d9VJLk;382
The BEST FREE APPS for Learning English;0qqshjpDEQI;371
STORY TIME! How I Became the Teacher I am Today;8yahL6ajnQg;1757
"How to Pronounce /æ/ (and /e/ - ""bad"" vs ""bed"")";13DiYvUgpo0;277
How to Pronounce /ʌ/ (pub, much, lunch);fCedFsRFTRM;262
HOW to PRONOUNCE the SCHWA /ə/;ubAeYNeQUiA;460
How to pronounce /ɔː/ (law, saw, ought);dX-u5WnOSuM;282
How to Pronounce /ɜː/;Y5VzKUMUlZw;406
How to Pronounce /ɑː/ (car, start, aren't, etc.);5f1kNK4397w;286
How to Pronounce /s/ and /ʃ/ (sh);Gr2wis5sc7Y;217
Six Yorkshire Slang/Dialect Words: Part 2;6NdeoFrqvzE;122
Six Yorkshire Slang/Dialect Words: Part 1;uMWy6N7CdCQ;174
How to Pronounce: /m/ and /n/ in Final Position;iSZyaW2TRK4;161
How to Pronounce: /n/ (thin) and /ŋ/ (thing);y1s9IIH1OoI;180
How to Pronounce: /b/ and /v/;p20zVtGXjhY;171
How to Pronounce: /æ/ (bat) and /ʌ/ (but);KCWNFNy7qZE;107
How to Pronounce: /ɔː/ (bought) and /əʊ/ (boat);U2RMeBreVco;196
How to Pronounce: bAd /æ/, bEd /e/, bUd /ʌ/;4ESDmQewQm0;118
The Yorkshire Accent(s): Northern vs. Southern Differences in Pronunciation;vB-7HCwmHTk;477
How to Pronounce the Alphabet in British English;lMb7IF356OE;273
"TO and FOR in English | ""I came to England FOR TO learn English""?! 😱";cCqQppRWKLo;286
Learn 10 Common Idioms in just 5 Minutes;JC4f1DQo30I;300
ORDINAL NUMBERS in ENGLISH;AyRW2Vqc32o;295
TONGUE TWISTERS in English;VLkD-0ad8GM;211
How to Pronounce CLOTHES and CLOSE in British English;FLXknxPOBZw;204
CUTTING/REMOVING SYLLABLES in ENGLISH;odvQQ0hz7Tw;185
Learn Common English/British Slang;caa4LW-tBpc;266
How to Pronounce CAN and CAN'T in BRITISH ENGLISH;IzjX0ghVSgg;109
"How to Pronounce ""ED"" ENDINGS in ENGLISH";VfCzDdgIQ68;340
"WHEN TO USE ""ED"" and ""ING"" ADJECTIVES: Bored or Boring?";I_rRI9zeF4g;333
How to Use MAKE or DO | COMMON COLLOCATIONS with MAKE and DO;u93dDTwoZ78;247
"How to Pronounce OFTEN in British English | Is it WITH or WITHOUT the ""T""?";ajNArDShiYQ;94
IELTS LISTENING PRACTICE PART 1: FAMILY NAMES/SURNAMES;7OZCVLNbz2I;156
How to Pronounce CONSONANT SOUNDS in BRITISH ENGLISH;nI9BL4AB5Y0;199
How to Pronounce DIPHTHONGS in BRITISH ENGLISH;HdXCF8KHSMQ;106
How to Pronounce all the VOWEL SOUNDS in BRITISH ENGLISH;jORgKrANiMw;160
MONTHS of the YEAR in BRITISH ENGLISH;ZobiqmylYsI;182
DAYS of the WEEK in BRITISH ENGLISH;Ty-cNOHVnPQ;258
ADVANCED LISTENING PRACTICE: EDUCATION;BYcIH3d8wjE;551
How to Pronounce the Difference between WOULD, WOOD, and GOOD PRONUNCIATION;sEhx-BL_y0k;333
"SHIP vs SHEEP? Long and Short ""i"" Vowels";5hBDAUCDXN8;407
How to Pronounce Bear, Beer, Bird, Beard in English;YoP8Nbnor-k;355
300k Subscriber PARTY! 🥳 (Ask Me Anything);y4nUo_a3KKI;3714
Improve your English Pronunciation - Read and Analyse a Story (British English);VgLThphTgsE;3374
Study with me - Study Stream;KjKDBemIy-U;6120
Sentence Stress and Intonation (Live Pronunciation Shadowing Practice);UdTRHFbIpxc;4261
How to Use Connected Speech in English (Live Pronunciation Shadowing Practice);oESDXVX1ZPA;4157
Reading and Analysing a Story for Pronunciation (Live Shadow Practice);SoONud8Tb-E;3959
End of Year Party with Followers! :);Urs5du7sKOI;4136
Q&A TIME!! Celebrating Reaching 200k Subs and 6 Million Views!;N_rePWHkCYs;2955
Celebrating 100k Subs!!!;N1kRvu4eI5k;1137
Lifelong Language Goals and Pronunciation Pro Membership Site / Pronunciation Workshop 3;Gd1hC38LyFo;2830
How to Pronounce Contracted Forms and Double Contractions in English | Pronunciation Workshop 2;YJ54Ev6f6DM;2845
Sentence Stress: How to sound natural and understand fast speech | Workshop 1;ShljBKlXbAA;2121
Phrasal Verbs Quiz/Test | Test Your Knowledge of Phrasal Verbs in a Big Fat Phrasal Verbs Quiz!;XkxEnS0VsmA;851
Listening Practice (IELTS) | Surnames, Telephone Numbers, Street Names and Email Addresses;MgWfkrMOhV0;1270
Common Health idioms and Expressions;KYow23k5-lY;1051
"Much and ""Many"" | ADVANCED GRAMMAR ENGLISH LESSON";KyOp31w-KZU;1173
"Be used to + ing and ""Get used to + ing""";oGMBa1zssOU;2379
"The Difference between ""Used to"" and ""Would""";cz_8jXtO8Jk;1104
THE 30 MOST COMMON GRAMMAR MISTAKES that English Learners Make;PlIYT87eLK4;1752
Verbs with Gerund and Infinitive... but with DIFFERENT MEANINGS;zvnahFIU90Y;1558
"HOW to USE and PRONOUNCE ""wanna"", ""gonna"", ""coulda"", ""shoulda"", ""woulda"", and ""dunno"" in ENGLISH";9WZ6f1itm0E;1030
How to teach English online? How to edit teaching videos? How to teach on WhatsApp and Telegram?;YcHVYf2aXBM;1749
REPORTED SPEECH in English | ALL TENSES;BTt4CuLyfKs;1040
HOW to IMPROVE READING SKILLS | RECOMMENDED BOOKS for ENGLISH LEARNERS;TUNaU1wLR6M;2558
HOW TO USE INVERSION in English | ADVANCED C1 LEVEL GRAMMAR;CVTNsv9eUbw;1663
COMMON ENGLISH STEREOTYPES | Myths and Stereotypes TRUE OR FALSE Game!;L8_hvfSCuHU;3291
HOW TO USE PASSIVE VOICE in English (ALL TENSES);KZxwXWxwXHw;1572
NARRATIVE TENSES (PAST SIMPLE, PAST PERFECT, PAST CONTINUOUS) and BRITISH ENGLISH LISTENING PRACTICE;4-CB5KyUqtg;1754
How to WRITE THE PERFECT CV/RESUME in ENGLISH | How to FIND WORK in ENGLAND;WQCN3qVXPzY;2805
LIVE Q&A with Colin from English Language Club;DFvi19DBN9o;3737
CONNECTIVES, TRANSITIONS, LINKING WORDS in English;nrqsbTzi7AY;1225
How to Use FUTURE PERFECT, FUTURE PERFECT CONTINUOUS, and FUTURE CONTINUOUS in English;tOA4BSEQai4;1037
PAST SIMPLE, PRESENT PERFECT, and PAST PERFECT;7O8DB1Z9eVo;1666
COMMON ENGLISH IDIOMS;agI0FupxePE;1304
SIMPLE SENTENCE STRESS;3pviZZ76uos;1697
LEARN and PRACTISE PHONEMIC TRANSCRIPTION;SdEc68uxMpQ;2355
BRITISH STEREOTYPES Q&A with Followers;Qdd6HsVZhAo;2662
IELTS, TEACHING TIPS, and FUTURE PLANS for my CAREER;99QAfEa-zeU;3393
THE, AN, and A - LEARN the DIFFERENCE QUICKLY and EASILY;nTLJ0AV3Q8E;1426
ADVANCED IELTS VOCABULARY and PHRASAL VERBS: TECHNOLOGY;Kbrhr05oBzk;1688
MIXED CONDITIONALS SIMPLY EXPLAINED;ZagFyr8UIhM;1097
THIRD CONDITIONAL MADE EASY;PkOVGn4FZXs;1409
SECOND CONDITIONAL MADE EASY;0-B_OPJKMdg;1264
ADVANCED IELTS VOCABULARY: PROBLEMS AND SOLUTIONS;5QSlrNX9beg;1467
FIRST CONDITIONAL MADE EASY;UKwfZRq8NSc;866
PHRASAL VERBS for DOCTORS and NURSES (medical professionals);UbZKK8Ipttk;1294
SOUND POLITER in English;HBpsM4xNdHU;1457
COMMON PHRASAL VERBS for RELATIONSHIPS;00xwChGrgo4;1273
"How to use the verb ""GET"" in English";nyUcbN5gGgw;756
I SAW A GHOST!! Story Time;#NOM?;2343
BRITISH vs. AMERICAN ENGLISH;jXO06BJn2As;2600
"HOW to PRONOUNCE ""ough"" in ENGLISH";97BRcBD0cpo;1082
"WHEN to USE ""SAY"" and ""TELL""";03_CAXF-E0E;871
VERBS and PREPOSITIONS;syO2rH1Gatw;1092
Words with Silent Letters in English;Z-vff0nJJGU;1478
COMMON EVERYDAY PHRASAL VERBS;rva0i2L-TSQ;2011
COMMON ADJECTIVES and PREPOSITIONS;rOoKu0zHICc;1097
IELTS TELEPHONE NUMBERS LISTENING PRACTICE;SLx0BXBwymY;1401
SOMEONE IS IMPERSONATING ME - PLEASE DO NOT GET SCAMMED;rs_Wp4eFQ5E;23
"Literally Pronunciation: How to Pronounce ""Literally"" in British English";qq-1TF7l0bs;58
Words with Silent T #shorts #englishpronunciation #pronunciation;bwl-D-HRs3s;42
30 Second Tip! Words with a Silent L;dB0csGLgD58;33
Month, Synth, Tenth - How to Pronounce /n/ + /θ/ (nth);OYiCPULQX_8;38
"th + ""s"" in Words";rZeyMGBsLD0;52
Clothes SUPER EASY Pronunciation HACK!;vtbXQ94wrSc;51
-ed Word Ending ⚠️EXCEPTIONS!⚠️;eeFeMsH7upM;60
How to Pronounce 'ed' Endings: 3 Very Easy Rules;S45SjF4gB-M;60
How to Pronounce /n/ and /ŋ/ at the End of Words;fvt6UXF1T2w;59
How to Use THE for Emphasis;Cduxaf80lmg;56
"Learn the TWO WAYS to Pronounce ""the""";ZwHwV0Jn-hA;60
"How to Pronounce ""th"" (Voiced TH /ð/) in English (this, that, these, those)";bWDhQgScD4g;59
"Connected Speech in English! Learn about /j/ ""y"" Vowel Linking #shorts";XWERDBDeIg0;59
Connected Speech in 1 Minute! Learn about the /w/ Linking Sound #shorts;__KrAEAbUjo;58
When to Remove Syllables in Words #shorts;qgPBf5VNuQY;56
Learn 4 REALLY COMMON Homophones in English #shorts;h0_Z_cZEzWE;37
Learn the Second Conditional in Under a Minute #shorts;jwF_BdQaxSk;58
Learn the First Conditional in Under 1 Minute #shorts;IGqBfMmLBUU;57
Learn the Zero Conditional in under 1 Minute #shorts;5BS3tq2FxK0;56
How to Pronounce the Glottal Stop in Under 1 Minute! // What is a Glottal Stop? #shorts;RU2ysNNdjqU;45
FREE APP! Find Music for ANY Level & ANY Accent to Practise your English! #shorts;CjnSWcuXV9o;60
How to Learn English with Netflix | You *NEED* this FREE Chrome Extension/Plugin #shorts;q9phGWocnhA;60
Best Dictionaries and Free Online Resources for English Learners #shorts;AungM4C0sac;51
;;57,60277778
